text_raw,text_clean,intent,category,emotion,emotion_score,confidence_label,source,language,multi_category,alt_category,created_at
ate outside today,ate outside today,food_order,groceries,casual,0.2,0.96,manual,hinglish,False,,2025-03-23
netflix renewal,netflix renewal,subscription,subscription,care,0.28,0.88,manual,english,False,,2024-06-19
junk food again 😐,junk food again,food_order,groceries,casual,0.23,0.82,sms,english,False,,2025-01-09
late night food craving,late night food craving,food_order,dining,stress,-0.49,0.82,sms,hinglish,False,,2025-04-11
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,neutral,0.11,0.86,sms,english,False,,2024-11-07
weekend outing,weekend outing,entertainment,entertainment,anxiety,-0.78,0.83,manual,english,False,,2025-01-21
health checkup,health checkup,health,medical,stress,-0.58,0.89,sms,hinglish,False,,2024-02-07
book purchase,book purchase,education,education,neutral,0.07,0.96,manual,hinglish,False,,2024-07-05
shopping mall visit,shopping mall visit,shopping,shopping,neutral,0.15,0.98,manual,hinglish,False,,2024-11-18
internet bill cleared,internet bill cleared,bill_payment,electricity,anxiety,-0.7,0.83,sms,english,False,,2024-03-09
food delivery after work,food delivery after work,food_order,groceries,care,0.3,0.89,manual,english,False,,2024-08-03
online course fee,online course fee,education,education,care,0.27,0.97,sms,english,False,,2025-02-11
cloud storage plan,cloud storage plan,subscription,subscription,neutral,0.0,0.9,sms,hinglish,False,,2025-01-19
vet consultation,vet consultation,pet_care,pet_supplies,stress,-0.58,0.86,manual,hinglish,True,medical,2024-02-10
cloud storage plan,cloud storage plan,subscription,subscription,stress,-0.49,0.89,sms,english,False,,2024-03-05
internet bill cleared,internet bill cleared,bill_payment,rent,impulsive,-0.44,0.84,manual,hinglish,False,,2024-12-08
clinic consultation,clinic consultation,health,medical,happy,0.71,0.82,sms,english,False,,2024-09-24
dog grooming,dog grooming,pet_care,pet_supplies,care,0.32,0.87,manual,english,False,,2024-09-16
pet food and vet visit,pet food and vet visit,pet_care,medical,impulsive,-0.43,0.85,manual,english,False,,2024-04-12
engine oil change,engine oil change,vehicle_maintenance,fuel,casual,0.34,0.96,manual,hinglish,True,vehicle_repair,2024-09-30
health checkup,health checkup,health,medical,neutral,0.09,0.96,sms,hinglish,False,,2025-03-19
